Date,OpenPrice,High,Low,ClosePrice,Volume,Symbol
2024-09-06,177.2400,178.3800,171.1600,171.3900,41466537,AMZN
2024-09-05,175.0000,179.8750,174.9950,177.8900,40170526,AMZN
2024-09-04,174.4800,175.9800,172.5400,173.3300,29682478,AMZN
2024-09-03,177.5500,178.2600,175.2600,176.2500,37817511,AMZN
2024-08-30,172.7800,178.9000,172.6000,178.5000,43429355,AMZN
2024-08-29,173.2200,174.2900,170.8100,172.1200,26407815,AMZN
2024-08-28,173.6900,173.6900,168.9200,170.8000,29045025,AMZN
2024-08-27,174.1500,174.8900,172.2500,173.1200,29841979,AMZN
2024-08-26,176.7000,177.4682,174.3000,175.5000,22366236,AMZN
2024-08-23,177.3400,178.9699,175.2400,177.0400,29150091,AMZN
2024-08-22,181.3800,181.4700,175.6800,176.1300,32047482,AMZN
2024-08-21,179.9200,182.3850,178.8937,180.1100,35599120,AMZN
2024-08-20,177.9200,179.0100,177.4308,178.8800,26255204,AMZN
2024-08-19,177.6400,178.3000,176.1600,178.2200,31129807,AMZN
2024-08-16,177.0400,178.3400,176.2601,177.0600,31489175,AMZN
2024-08-15,174.8600,177.9100,173.9900,177.5900,51698513,AMZN
2024-08-14,172.1100,172.2800,168.8600,170.1000,28843804,AMZN
2024-08-13,167.8100,171.0400,167.1000,170.2300,39237915,AMZN
2024-08-12,168.1400,168.5500,166.1101,166.8000,30072788,AMZN
2024-08-09,166.4000,168.5500,165.8500,166.9400,36401049,AMZN
2024-08-08,165.1650,166.6899,162.5500,165.8000,44616206,AMZN
2024-08-07,166.5500,167.5800,161.4300,162.7700,48408240,AMZN
2024-08-06,161.7100,165.0800,158.5404,161.9300,59950830,AMZN
2024-08-05,154.2100,162.9600,151.6100,161.0200,83149437,AMZN
2024-08-02,166.7500,168.7700,160.5500,167.9000,141448365,AMZN
2024-08-01,189.2850,190.6000,181.8700,184.0700,70435635,AMZN
2024-07-31,185.0500,187.9400,184.4600,186.9800,41667326,AMZN
2024-07-30,184.7200,185.8600,179.3800,181.7100,39508574,AMZN
2024-12-18,919.1300,922.4400,886.5600,889.5500,2938194,NFLX
2024-12-17,921.5400,928.4500,916.4200,919.1300,2459456,NFLX
2024-12-16,923.9400,928.9400,919.5000,921.0800,2674892,NFLX
2024-12-13,916.8100,925.5500,909.6100,918.8700,2485829,NFLX
2024-12-12,933.3500,934.0886,922.6000,925.5500,2486197,NFLX
2024-12-11,924.7100,941.7500,923.0800,936.5600,3501691,NFLX
2024-12-10,913.7600,922.8800,909.5800,913.3500,2388575,NFLX
2024-12-09,928.0000,930.2999,902.5900,913.6900,3350082,NFLX
2024-12-06,915.2300,935.2700,912.7100,934.7400,2955383,NFLX
2024-12-05,917.8500,927.0000,911.1075,917.8700,2835307,NFLX
2024-12-04,898.0500,915.9699,898.0500,911.0600,2689629,NFLX
2024-12-03,894.3600,902.6900,888.0250,902.1700,2401634,NFLX
2024-12-02,887.5100,902.3400,884.1200,897.7400,2388966,NFLX
2024-11-29,882.1700,892.4100,876.6800,886.8100,2027237,NFLX
2024-11-27,872.0600,880.9500,858.9100,877.3400,2578222,NFLX
2024-11-26,867.4900,886.3600,867.2501,872.6000,3138259,NFLX
2024-11-25,902.0500,902.0500,864.2200,865.5900,6014203,NFLX
2024-11-22,896.0000,906.0000,893.0000,897.7900,3214020,NFLX
2024-11-21,883.9300,908.0000,877.2400,897.4800,4511263,NFLX
2024-11-20,879.9800,890.6000,868.4000,883.8500,4093843,NFLX
2024-11-19,839.7500,874.4900,839.1600,871.3200,3814227,NFLX
2024-11-18,815.5000,848.4500,809.3301,847.0500,4084081,NFLX
2024-11-15,832.0400,832.0400,816.4900,823.9600,3673720,NFLX
2024-11-14,833.6700,840.9997,830.0200,837.2600,3038231,NFLX
2024-11-13,822.6150,836.9899,820.5368,830.4700,2767772,NFLX
2024-11-12,807.5000,820.3697,803.7500,819.5000,2814064,NFLX
2024-11-11,795.9000,806.8230,795.5650,805.4400,2399150,NFLX
2024-11-08,797.3600,799.0600,788.6500,795.0400,1910626,NFLX
2024-11-07,781.3700,798.2200,779.9400,796.5400,3295074,NFLX
2024-11-06,771.5000,781.4900,757.3800,780.2100,3690817,NFLX
2024-11-05,757.3500,767.5299,756.2700,763.9100,2200645,NFLX
2024-11-04,753.1400,762.4800,749.6900,755.5100,1902194,NFLX
2024-11-01,753.4800,763.7999,747.7700,756.1000,2996829,NFLX
2024-10-31,753.9300,760.7899,752.2300,756.0300,3057709,NFLX
2024-10-30,758.0800,759.7900,752.2775,753.7400,1722002,NFLX
2024-10-29,751.1300,763.8800,748.0100,759.4400,3660433,NFLX
2024-10-28,758.6800,758.6800,747.8800,749.1200,2862405,NFLX
2024-10-25,756.1700,768.5000,753.5300,754.6800,2819473,NFLX
2024-10-24,751.9700,755.8200,746.2500,754.5500,2642962,NFLX
2024-10-23,762.8300,763.7899,744.2600,749.2900,3749007,NFLX
